"geo_id","year","nights","population","nights_per_1000pop","ln_nights_per_1000pop","gdp_pc","ln_gdp_pc","pop_density","ln_pop_density","comp_employees","wage_per_capita","ln_wage_per_capita","tertiary_edu","coast","area_km2","unesco_count"
"BE10",2017,6335177,1199095,5283.29865440186,8.57230592678017,68000,11.1272629841582,7421.6,8.91214994633906,41164,0.0343292232892306,-3.37175829660884,46.6,0,158.324376627313,3
"BE10",2018,6993061,1205492,5801.00158275625,8.66578586830799,68900,11.1404114570018,7471.5,8.91885106118145,42132.1,0.0349501282463923,-3.35383314088438,47.5,0,158.324376627313,3
"BE10",2019,7428718,1215289,6112.71722199411,8.71812667049224,71700,11.1802460265877,7526.7,8.9262119777237,43450.5,0.0357532241302275,-3.33111482844768,47.1,0,158.324376627313,3
"BE10",2020,1782873,1223364,1457.35284020128,7.28437694585526,68000,11.1272629841582,7526.7,8.9262119777237,42709,0.0349111139448275,-3.35495004932737,49.3,0,158.324376627313,3
"BE10",2021,2370936,1226329,1933.36046036586,7.56701493899168,72900,11.1968439179968,7560.8,8.93073228368085,45128.4,0.0367995864078889,-3.30226867278647,52.2,0,158.324376627313,3
"BE10",2022,6220792,1228655,5063.09094090693,8.52973243367052,77900,11.2631812318588,7660,8.94376726273464,49086.4,0.0399513288921626,-3.22009334343916,53.5,0,158.324376627313,3
"BE10",2023,7127123,1253178,5687.2391631516,8.64598020078365,82300,11.3181263866652,7770.2,8.95805118305617,53744.3,0.0428864056023965,-3.14920038899208,53.8,0,158.324376627313,3
"BE21",2017,4333706,1838863,2356.73130624739,7.76503089823988,45700,10.7298535768823,657.7,6.4887489003073,39881,0.0216878582036835,-3.8310027048151,38.2,0,2932.69070265015,2
"BE21",2018,4864460,1849523,2630.11598125571,7.87478322353623,47300,10.76426557448,661.6,6.49466114370948,41432.2,0.0224015597535148,-3.79862469069199,40,0,2932.69070265015,2
"BE21",2019,4912144,1860470,2640.27046929002,7.87863664138131,48900,10.797532675463,665.8,6.50098932514092,43234.4,0.0232384289991239,-3.76194794828834,40,0,2932.69070265015,2
"BE21",2020,2056957,1873095,1098.1594633481,7.00139084226048,47600,10.7705880402195,665.8,6.50098932514092,42747.6,0.0228219070575705,-3.78003436847069,41,0,2932.69070265015,2
"BE21",2021,2984935,1879318,1588.30756689395,7.3704243049763,51300,10.8454460311589,669.1,6.50593352578877,45172.9,0.0240368580516975,-3.72816687454148,43.5,0,2932.69070265015,2
"BE21",2022,5273380,1890627,2789.22283454113,7.93351828208415,57700,10.9630124524962,678.8,6.52032653336007,49566.4,0.0262169111093833,-3.64135061424601,47.1,0,2932.69070265015,2
"BE21",2023,5360150,1915921,2797.68842243495,7.93654879178206,60400,11.0087443839229,686.3,6.53131484991459,53400.1,0.0278717650675576,-3.58014110732441,46.1,0,2932.69070265015,2
"BE22",2017,4105887,869664,4721.23371784965,8.45982542532592,31400,10.3545631718963,364.5,5.89852655144871,13931.3,0.0160191752216948,-4.133968822956,35.4,0,2366.42100422843,1
"BE22",2018,4330127,872739,4961.53718351076,8.50947088773532,32500,10.3889953683178,365.8,5.90208673595677,14456.9,0.0165649753248107,-4.10046473282929,35.8,0,2366.42100422843,1
"BE22",2019,4413067,875842,5038.65651567292,8.52489476118021,33500,10.4193007178132,367.5,5.90672331865289,14969.2,0.0170912105151386,-4.06919095258201,36.7,0,2366.42100422843,1
"BE22",2020,2406418,880602,2732.69649626051,7.91304412826506,32300,10.3828225092107,367.5,5.90672331865289,14681,0.0166715496898712,-4.09405162374049,37.7,0,2366.42100422843,1
"BE22",2021,3551574,883228,4021.12931202362,8.29931806555044,35400,10.4744670991219,369,5.91079664404053,15712.8,0.0177901968687587,-4.029107711106,39.2,0,2366.42100422843,1
"BE22",2022,4860760,888913,5468.20667489394,8.60670599429376,39300,10.5789797978574,373.8,5.92372089502146,17143.4,0.0192858018726242,-3.94838610806586,43.7,0,2366.42100422843,1
"BE22",2023,5135639,898619,5715.0349591985,8.6508556933053,41300,10.6286177789491,377,5.93224518744801,18537.2,0.0206285422409275,-3.88107961649321,42.2,0,2366.42100422843,1
"BE23",2017,2264035,1498483,1510.88467470101,7.32045063553532,36200,10.4968143978139,505.8,6.22614133423586,26467.3,0.0176627295738423,-4.03629853324465,42.6,0,3052.89639895302,0
"BE23",2018,2454113,1506232,1629.30610955019,7.39590950350252,37000,10.5186731916264,508.8,6.23205501202591,27615.1,0.018333895442402,-3.99900372239315,42.8,0,3052.89639895302,0
"BE23",2019,2565512,1516284,1691.97327149795,7.43365074305437,38200,10.5505907945947,512.3,6.23891039094516,28663.1,0.0189035167554363,-3.96840730250953,41.5,0,3052.89639895302,0
"BE23",2020,1164263,1526486,762.707944914005,6.63687518594301,37100,10.5213722485955,512.3,6.23891039094516,28543.2,0.0186986320215187,-3.97930491172696,44.1,0,3052.89639895302,0
"BE23",2021,1673154,1533876,1090.8013424814,6.9946678817017,41200,10.6261935353376,515.2,6.24455517479014,30557.6,0.0199218189736328,-3.91593971705716,50,0,3052.89639895302,0
"BE23",2022,2869279,1545469,1856.57492968154,7.52648863352528,45700,10.7298535768823,523.4,6.26034599009605,33547.9,0.0217072616791408,-3.83010843482332,49.6,0,3052.89639895302,0
"BE23",2023,3050344,1563346,1951.16372191441,7.57618125402407,48200,10.7831143000387,528.3,6.26966430417027,36426.4,0.0233002802962364,-3.75928988860145,46.8,0,3052.89639895302,0
"BE24",2017,2030847,1130644,1796.18606740937,7.49342084450338,42300,10.6525423650344,536.7,6.28543927918278,23615.8,0.020887034291961,-3.86862668132541,50.7,0,2124.81804235057,0
"BE24",2018,2295796,1138546,2016.42797041138,7.60908289357199,43500,10.6805162170768,540.5,6.29249463707926,24450.1,0.0214748459877774,-3.84087298283591,48.7,0,2124.81804235057,0
"BE24",2019,2348709,1146643,2048.33500924002,7.62478255151233,45100,10.7166375254908,544.7,6.30023518438963,25533.3,0.0222678723892266,-3.8046103393569,49.2,0,2124.81804235057,0
"BE24",2020,805360,1156470,696.39506429047,6.54591712040549,42700,10.6619541992167,544.7,6.30023518438963,25142.4,0.0217406417805909,-3.82857187699845,51.4,0,2124.81804235057,0
"BE24",2021,1076461,1163186,925.441846789765,6.83027129566853,48200,10.7831143000387,548.6,6.3073695785035,26547.1,0.0228227471788691,-3.7799975570932,53.2,0,2124.81804235057,0
